"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","73.00","68.55","73.62","62.73","526.41K","6.73%"
"11/01/2024","68.40","63.78","71.54","62.37","666.49K","5.92%"
"10/01/2024","64.58","65.23","67.75","59.95","703.69K","-1.49%"
"09/01/2024","65.56","70.03","70.99","62.39","631.38K","-6.74%"
"08/01/2024","70.30","69.55","74.75","67.85","507.51K","1.53%"
"07/01/2024","69.24","67.41","71.95","64.25","","2.79%"
"06/01/2024","67.36","74.44","77.80","65.79","","-9.06%"
"05/01/2024","74.07","69.19","78.10","67.25","","7.04%"
"04/01/2024","69.20","61.22","74.90","56.91","","11.74%"
"03/01/2024","61.93","56.50","65.74","53.50","","9.73%"
"02/01/2024","56.44","64.16","64.87","51.12","","-12.36%"
"01/01/2024","64.40","80.19","81.25","60.86","","-19.69%"
"12/01/2023","80.19","70.79","80.98","65.99","","13.66%"
"11/01/2023","70.55","79.40","80.27","70.45","","-11.16%"
"10/01/2023","79.41","81.42","86.60","78.15","","-2.50%"
"09/01/2023","81.45","86.03","86.32","80.51","","-5.32%"
"08/01/2023","86.03","86.85","90.39","82.31","","-0.90%"
"07/01/2023","86.81","89.12","93.50","85.11","","-3.08%"
"06/01/2023","89.57","80.78","96.00","78.01","","10.90%"
"05/01/2023","80.77","87.39","91.24","79.32","","-7.85%"
"04/01/2023","87.65","91.75","98.43","85.16","","-4.47%"
"03/01/2023","91.75","99.73","100.34","84.75","","-7.83%"
"02/01/2023","99.54","93.36","101.18","89.18","","7.03%"
"01/01/2023","93.00","82.45","93.64","77.00","","13.06%"
"12/01/2022","82.26","84.63","91.18","80.59","","-3.11%"
"11/01/2022","84.90","79.78","85.25","70.50","354.91K","6.16%"
"10/01/2022","79.97","66.55","82.58","64.25","400.79K","19.84%"
"09/01/2022","66.73","80.41","81.35","64.10","479.94K","-16.62%"
"08/01/2022","80.03","78.50","99.22","78.10","386.74K","1.88%"
"07/01/2022","78.55","89.32","90.35","75.49","384.88K","-12.88%"
"06/01/2022","90.16","84.22","90.33","79.10","359.55K","7.31%"
"05/01/2022","84.02","83.59","92.75","77.38","455.10K","-0.51%"
"04/01/2022","84.45","77.00","89.89","76.34","357.82K","10.42%"
"03/01/2022","76.48","82.60","84.43","55.00","739.47K","-6.97%"
"02/01/2022","82.21","89.74","98.49","80.12","569.36K","-7.88%"
"01/01/2022","89.24","79.80","90.63","77.55","489.11K","10.65%"
"12/01/2021","80.65","75.67","90.75","72.58","744.29K","7.01%"
"11/01/2021","75.37","59.00","75.76","56.65","699.78K","28.38%"
"10/01/2021","58.71","61.85","65.40","54.01","672.13K","-4.91%"
"09/01/2021","61.74","60.60","65.77","58.31","757.15K","1.61%"
"08/01/2021","60.76","53.19","61.01","52.51","512.52K","13.93%"
"07/01/2021","53.33","56.60","58.64","49.99","676.01K","-5.39%"
"06/01/2021","56.37","51.90","56.68","49.26","624.76K","9.03%"
"05/01/2021","51.70","48.95","56.90","48.40","757.22K","5.86%"
"04/01/2021","48.84","42.50","49.41","42.10","533.12K","14.78%"
"03/01/2021","42.55","37.44","43.77","36.65","724.45K","14.14%"
"02/01/2021","37.28","32.95","40.64","32.56","684.04K","13.14%"
"01/01/2021","32.95","32.70","35.42","31.29","444.55K","0.70%"